Category,Country,Continent,Year,Usage,FossilType,Measurement,Latitude,Longitude,iso_alpha
Oil Consumption,United Kingdom,Europe,1966,3.416097011,Oil,Exajoules,55.378051,-3.435973,GBR
Oil Consumption,Iran,Middle East,1966,0.322864271,Oil,Exajoules,32.427908,53.688046,IRN
Oil Consumption,Iraq,Middle East,1966,0.060099448,Oil,Exajoules,33.223191,43.679291,IRQ
Oil Consumption,Israel,Middle East,1966,0.171733743,Oil,Exajoules,31.046051,34.851612,ISR
Oil Consumption,Kuwait,Middle East,1966,0.216977192,Oil,Exajoules,29.31166,47.481766,KWT
Oil Consumption,Oman,Middle East,1966,0.019873001,Oil,Exajoules,21.512583,55.923255,OMN
Oil Consumption,Qatar,Middle East,1966,0.002059192,Oil,Exajoules,25.3182235,-51.20661467,QAT
Oil Consumption,Saudi Arabia,Middle East,1966,0.83196574,Oil,Exajoules,23.885942,45.079162,SAU
Oil Consumption,United Arab Emirates,Middle East,1966,0.003283348,Oil,Exajoules,23.7479278,-54.10908829,ARE
Oil Consumption,Algeria,Africa,1966,0.072981739,Oil,Exajoules,28.033886,1.659626,DZA
Oil Consumption,Egypt,Africa,1966,0.314423978,Oil,Exajoules,26.820553,30.802498,EGY
Oil Consumption,Morocco,Africa,1966,0.059447389,Oil,Exajoules,31.791702,-7.09262,MAR
Oil Consumption,South Africa,Africa,1966,0.263484501,Oil,Exajoules,-30.559482,22.937506,ZAF
Oil Consumption,Australia,Asia Pacific,1966,0.770571187,Oil,Exajoules,-25.274398,133.775136,AUS
Oil Consumption,China,Asia Pacific,1966,0.596879679,Oil,Exajoules,35.86166,104.195397,CHN
Oil Consumption,China Hong Kong SAR,Asia Pacific,1966,0.098254951,Oil,Exajoules,22.32789401,114.1798757,HKG
Oil Consumption,India,Asia Pacific,1966,0.590938854,Oil,Exajoules,20.593684,78.96288,IND
Oil Consumption,Indonesia,Asia Pacific,1966,0.251512074,Oil,Exajoules,-0.789275,113.921327,IDN
Oil Consumption,Japan,Asia Pacific,1966,4.158211325,Oil,Exajoules,36.204824,138.252924,JPN
Oil Consumption,Malaysia,Asia Pacific,1966,0.113742811,Oil,Exajoules,4.210484,101.975766,MYS
Oil Consumption,New Zealand,Asia Pacific,1966,0.13008053,Oil,Exajoules,-40.900557,174.885971,NZL
Oil Consumption,Pakistan,Asia Pacific,1966,0.166020813,Oil,Exajoules,30.375321,69.345116,PAK
Oil Consumption,Philippines,Asia Pacific,1966,0.195145067,Oil,Exajoules,12.879721,121.774017,PHL
Oil Consumption,Singapore,Asia Pacific,1966,0.196868069,Oil,Exajoules,1.352083,103.819836,SGP
Oil Consumption,South Korea,Asia Pacific,1966,0.081523233,Oil,Exajoules,36.61375976,127.7174212,KOR
Oil Consumption,Sri Lanka,Asia Pacific,1966,0.020220189,Oil,Exajoules,7.873054,80.771797,LKA
Oil Consumption,Taiwan,Asia Pacific,1966,0.109399597,Oil,Exajoules,23.69781,120.960515,TWN
Oil Consumption,Thailand,Asia Pacific,1966,0.117689274,Oil,Exajoules,15.870032,100.992541,THA
Oil Consumption,Vietnam,Asia Pacific,1966,0.141711437,Oil,Exajoules,14.058324,108.277199,VNM
Gas Consumption,Canada,North America,1966,0.854009595,Gas,Exajoules,56.130366,-106.346771,CAN
Gas Consumption,Mexico,North America,1966,0.306408306,Gas,Exajoules,23.634501,-102.552784,MEX
Gas Consumption,US,North America,1966,16.13792204,Gas,Exajoules,37.09024,-95.712891,USA
Gas Consumption,Argentina,S. & Cent. America,1966,0.16076592,Gas,Exajoules,-38.416097,-63.616672,ARG
Gas Consumption,Brazil,S. & Cent. America,1966,0.002161449,Gas,Exajoules,-14.235004,-51.92528,BRA
Gas Consumption,Chile,S. & Cent. America,1966,0.0232254,Gas,Exajoules,-35.675147,-71.542969,CHL
Gas Consumption,Colombia,S. & Cent. America,1966,0.0336105,Gas,Exajoules,4.570868,-74.297333,COL
Gas Consumption,Peru,S. & Cent. America,1966,0.01375605,Gas,Exajoules,-9.189967,-75.015152,PER
